27473;# doc = ras_serb.2.txt;;;;;;;;;;;;;;;;
27673;;перепонки;ПЕРЕПОНКА;S f inan nom pl;;; И мои _перепонки_ просто пуххх !;и;к;н;о;п;е;S;ПЕРЕПОНКА;S f inan nom pl;А
27674;;просто;ПРОСТО;PART;;;И мои перепонки _просто_ пуххх ! ;о;т;с;о;р;п;PART;ПРОСТО;PART;О
27675;;пуххх;ПУХХХ;NONLEX;;;мои перепонки просто _пуххх_ !  ;х;х;х;у;п;;NONLEX;ПУХХХ;NONLEX;Х
27676;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
27677;;;;;;;;;;;;;;;;;
27678;# sent = 2020;;;;;;;;;;;;;;;;
27679;;Это;ЭТО;SPRO n - nom sg;;;!   _Это_ вот как в;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
27680;;вот;ВОТ;PART;;;  Это _вот_ как в мультиках;т;о;в;;;;PART;ВОТ;PART;Т
27681;;как;КАК;CONJ;;; Это вот _как_ в мультиках ,;к;а;к;;;;CONJ;КАК;CONJ;К
27682;;в;В;PR;;;Это вот как _в_ мультиках , ты;в;;;;;;PR;В;PR;В
27683;;мультиках;МУЛЬТИК;S m inan loc pl;;;вот как в _мультиках_ , ты такой;х;а;к;и;т;ь;S;МУЛЬТИК;S m inan loc pl;К
27684;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27685;;ты;ТЫ;SPRO sg 2p - nom;;;в мультиках , _ты_ такой эээ ,;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
27686;;такой;ТАКОЙ;APRO - nom sg plen m -;;;мультиках , ты _такой_ эээ , вот;й;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen m -;Й
27687;;эээ;ЭЭЭ;NONLEX;;;, ты такой _эээ_ , вот это;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX;Э
27688;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27689;;вот;ВОТ;PART;;;такой эээ , _вот_ это было так же;т;о;в;;;;PART;ВОТ;PART;Т
27690;;это;ЭТО;SPRO n - nom sg;;;эээ , вот _это_ было так же .;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
27691;;было;БЫТЬ;V ipf praet sg indic n -;;;, вот это _было_ так же . ;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
27692;;так же;так же;ADV -;;;вот это было _так же_ .  ;е;ж; ;к;а;т;ADV;так же;ADV -;е
27693;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27694;;;;;;;;;;;;;;;;;
27695;# sent = 2021;;;;;;;;;;;;;;;;
27696;;Это;ЭТО;SPRO n - nom sg;;;.   _Это_ капец просто …;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
27697;;капец;КАПЕЦ;PART;;;  Это _капец_ просто … ;ц;е;п;а;к;;S;КАПЕЦ;S m anim nom sg;Ц
27698;;просто;ПРОСТО;PART;;; Это капец _просто_ …  ;о;т;с;о;р;п;PART;ПРОСТО;PART;О
27699;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27700;;;;;;;;;;;;;;;;;
27701;# sent = 2022;;;;;;;;;;;;;;;;
27702;;Да;ДА;PART;;;…   _Да_ , кстати ,;а;д;;;;;CONJ;ДА;CONJ;А
27703;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27704;;кстати;КСТАТИ;PARENTH;;; Да , _кстати_ , я сделал;и;т;а;т;с;к;ADV;КСТАТИ;ADV -;И
27705;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27706;;я;Я;SPRO sg 1p - nom;;;, кстати , _я_ сделал практику ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
27707;;сделал;СДЕЛАТЬ;V pf praet sg indic m -;;;кстати , я _сделал_ практику , а;л;а;л;е;д;с;V;СДЕЛАТЬ;V pf praet sg indic m -;Ь
27708;;практику;ПРАКТИКА;S f inan acc sg;;;, я сделал _практику_ , а эта;у;к;и;т;к;а;S;ПРАКТИКА;S f inan acc sg;А
27709;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27710;;а;А;CONJ;;;сделал практику , _а_ эта тварь мне;а;;;;;;CONJ;А;CONJ;А
27711;;эта;ЭТОТ;APRO - nom sg plen f -;;;практику , а _эта_ тварь мне не;а;т;э;;;;APRO;ЭТОТ;A - nom sg plen f -;Т
27712;;тварь;ТВАРЬ;S f anim nom sg;;;, а эта _тварь_ мне не отдала;ь;р;а;в;т;;S;ТВАРЬ;S f anim nom sg;Ь
27713;;мне;Я;SPRO sg 1p - dat;;;а эта тварь _мне_ не отдала косарь;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
27714;;не;НЕ;PART;;;эта тварь мне _не_ отдала косарь .;е;н;;;;;PART;НЕ;PART;Е
27715;;отдала;ОТДАТЬ;V pf praet sg indic f -;;;тварь мне не _отдала_ косарь . ;а;л;а;д;т;о;V;ОТДАТЬ;V pf praet sg indic f -;Ь
27716;;косарь;КОСАРЬ;S m inan acc sg;;;мне не отдала _косарь_ .  ;ь;р;а;с;о;к;S;КОСАРЬ;S m inan acc sg;Ь
27717;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27718;;;;;;;;;;;;;;;;;
27719;# sent = 2023;;;;;;;;;;;;;;;;
27720;;Никифорова;НИКИФОРОВ;S patrn f anim acc sg;;;.   _Никифорова_ , ты то;а;в;о;р;о;ф;S;НИКИФОРОВ;S m anim acc sg;В
27721;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27722;;ты;ТЫ;SPRO sg 2p - nom;;; Никифорова , _ты_ то … ;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
27723;;то;ТО;NONLEX;слитно;;Никифорова , ты _то_ …  ;о;т;;;;;PART;ТО;PART;О
27724;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27725;;;;;;;;;;;;;;;;;
27726;# sent = 2024;;;;;;;;;;;;;;;;
27727;;торчишь;ТОРЧАТЬ;V ipf praes sg indic - 2p;;;…   _торчишь_ мне косарь ,;ь;ш;и;ч;р;о;V;ТОРЧАТЬ;V ipf praes sg indic - 2p;Ь
27728;;мне;Я;SPRO sg 1p - dat;;;  торчишь _мне_ косарь , я;е;н;м;;;;SPRO;Я;SPRO sg 1p - dat;Я
27729;;косарь;КОСАРЬ;S m inan acc sg;;; торчишь мне _косарь_ , я всё;ь;р;а;с;о;к;S;КОСАРЬ;S m anim nom sg;Ь
27730;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27731;;я;Я;SPRO sg 1p - nom;;;мне косарь , _я_ всё помню .;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
27732;;всё;ВСЕ;S - - acc sg;;;косарь , я _всё_ помню . ;ё;с;в;;;;S;ВСЕ;S - - acc pl;Е
27733;;помню;ПОМНИТЬ;V ipf praes sg indic - 1p;;;, я всё _помню_ .  ;ю;н;м;о;п;;V;ПОМНИТЬ;V ipf praes sg indic - 1p;Ь
27734;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27735;;;;;;;;;;;;;;;;;
27736;# sent = 2025;;;;;;;;;;;;;;;;
27737;;Надо;НАДО;PRAEDIC;;;.   _Надо_ написать ей ,;о;д;а;н;;;PRAEDIC;НАДО;ADV -;О
27738;;написать;НАПИСАТЬ;V pf - - inf - -;;;  Надо _написать_ ей , кстати;ь;т;а;с;и;п;V;НАПИСАТЬ;V pf - - inf - -;Ь
27739;;ей;ОНА;SPRO sg 3p f dat;;; Надо написать _ей_ , кстати .;й;е;;;;;SPRO;ОНА;SPRO sg 3p f dat;А
27740;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27741;;кстати;КСТАТИ;PARENTH;;;написать ей , _кстати_ .  ;и;т;а;т;с;к;ADV;КСТАТИ;ADV -;И
27742;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27743;;;;;;;;;;;;;;;;;
27744;# sent = 2026;;;;;;;;;;;;;;;;
27745;;Так;ТАК;PART;;;.   _Так_ о чём я;к;а;т;;;;ADV;ТАК;ADV -;К
27746;;о;О;PR;;;  Так _о_ чём я рассказывал;о;;;;;;PR;О;PR;О
27747;;чём;ЧТО;SPRO n inan loc sg;;; Так о _чём_ я рассказывал ?;м;ё;ч;;;;SPRO;ЧТО;S n - loc sg;О
27748;;я;Я;SPRO sg 1p - nom;;;Так о чём _я_ рассказывал ? ;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
27749;;рассказывал;РАССКАЗЫВАТЬ;V ipf praet sg indic m -;;;о чём я _рассказывал_ ?  ;л;а;в;ы;з;а;V;РАССКАЗЫВАТЬ;V ipf praet sg indic m -;Ь
27750;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
27751;;;;;;;;;;;;;;;;;
27752;# sent = 2027;;;;;;;;;;;;;;;;
27753;;О;О;PR;;;?   _О_ Сербии , по-моему;о;;;;;;PR;О;PR;О
27754;;Сербии;СЕРБИЯ;S f inan loc sg;;;  О _Сербии_ , по-моему .;и;и;б;р;е;с;S;СЕРБИЯ;S f inan loc sg;Я
27755;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27756;;по-моему;ПО-МОЕМУ;PARENTH;;;О Сербии , _по-моему_ .  ;у;м;е;о;м;-;ADV;ПО-МОЕМУ;ADV -;У
27757;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27758;;;;;;;;;;;;;;;;;
27759;# sent = 2028;;;;;;;;;;;;;;;;
27760;# speaker = Суф;;;;;;;;;;;;;;;;
27761;# sent = 2029;;;;;;;;;;;;;;;;
27762;;А;А;CONJ;;;   _А_ , вот .;а;;;;;;CONJ;А;CONJ;А
27763;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27764;;вот;ВОТ;PART;;; А , _вот_ .  ;т;о;в;;;;PART;ВОТ;PART;Т
27765;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27766;;;;;;;;;;;;;;;;;
27767;# sent = 2030;;;;;;;;;;;;;;;;
27768;;Ну;НУ;PART;;;.   _Ну_ , короче ,;у;н;;;;;PART;НУ;PART;У
27769;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27770;;короче;КОРОЧЕ;PARENTH;;; Ну , _короче_ , с регистрацией;е;ч;о;р;о;к;ADV;КОРОЧЕ;ADV comp;Е
27771;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27772;;с;С;PR;;;, короче , _с_ регистрацией , мы;с;;;;;;PR;С;PR;С
27773;;регистрацией;РЕГИСТРАЦИЯ;S f inan ins sg;;;короче , с _регистрацией_ , мы решили;й;е;и;ц;а;р;S;РЕГИСТРАЦИЯ;S f inan ins sg;Я
27774;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27775;;мы;МЫ;SPRO pl 1p - nom;;;с регистрацией , _мы_ решили : насрать;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
27776;;решили;РЕШИТЬ;V pf praet pl indic - -;;;регистрацией , мы _решили_ : насрать так;и;л;и;ш;е;р;V;РЕШИТЬ;V pf praet pl indic - -;Ь
27777;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
27778;;насрать;НАСРАТЬ;V pf - - inf - -;;;мы решили : _насрать_ так насрать ,;ь;т;а;р;с;а;V;НАСРАТЬ;V pf - - inf - -;Ь
27779;;так;ТАК;CONJ;;;решили : насрать _так_ насрать , хорошо;к;а;т;;;;ADV;ТАК;ADV -;К
27780;;насрать;НАСРАТЬ;V pf - - inf - -;;;: насрать так _насрать_ , хорошо .;ь;т;а;р;с;а;V;НАСРАТЬ;V pf - - inf - -;Ь
27781;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27782;;хорошо;ХОРОШО;PART;;;так насрать , _хорошо_ .  ;о;ш;о;р;о;х;ADV;ХОРОШО;ADV -;О
27783;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27784;;;;;;;;;;;;;;;;;
27785;# sent = 2031;;;;;;;;;;;;;;;;
27786;;Пошли;ПОЙТИ;V pf praet pl indic - -;;;.   _Пошли_ гулять в центр;и;л;ш;о;п;;V;ПОЙТИ;V pf praet pl indic - -;И
27787;;гулять;ГУЛЯТЬ;V ipf - - inf - -;;;  Пошли _гулять_ в центр .;ь;т;я;л;у;г;V;ГУЛЯТЬ;V ipf - - inf - -;Ь
27788;;в;В;PR;;; Пошли гулять _в_ центр . ;в;;;;;;PR;В;PR;В
27789;;центр;ЦЕНТР;S m inan acc sg;;;Пошли гулять в _центр_ .  ;р;т;н;е;ц;;S;ЦЕНТР;S m inan acc sg;Р
27790;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27791;;;;;;;;;;;;;;;;;
27792;# sent = 2032;;;;;;;;;;;;;;;;
27793;;Ну;НУ;PART;;;.   _Ну_ , центр ,;у;н;;;;;PART;НУ;PART;У
27794;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27795;;центр;ЦЕНТР;S m inan nom sg;;; Ну , _центр_ , он как;р;т;н;е;ц;;S;ЦЕНТР;S m inan nom sg;Р
27796;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27797;;он;ОН;SPRO sg 3p m nom;;;, центр , _он_ как пиздец центр;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н
27798;;как;КАК;CONJ;;;центр , он _как_ пиздец центр ,;к;а;к;;;;CONJ;КАК;CONJ;К
27799;;пиздец;ПИЗДЕЦ;S m inan nom sg;;;, он как _пиздец_ центр , ну;ц;е;д;з;и;п;S;ПИЗДЕЦ;S m inan acc sg;Ц
27800;;центр;ЦЕНТР;S m inan nom sg;;;он как пиздец _центр_ , ну нормальный;р;т;н;е;ц;;S;ЦЕНТР;S m inan nom sg;Р
27801;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27802;;ну;НУ;PART;;;пиздец центр , _ну_ нормальный типа есть;у;н;;;;;PART;НУ;PART;У
27803;;нормальный;НОРМАЛЬНЫЙ;A - nom sg plen m -;;;центр , ну _нормальный_ типа есть ...;й;ы;н;ь;л;а;A;НОРМАЛЬНЫЙ;A - nom sg plen m -;Й
27804;;типа;ТИПА;PART;;;, ну нормальный _типа_ есть ... ;а;п;и;т;;;PART;ТИПА;PART;А
27805;;есть;БЫТЬ;V ipf praes sg indic - 3p;;;ну нормальный типа _есть_ ...  ;ь;т;с;е;;;V;БЫТЬ;V ipf praes sg indic - 3p;Ь
27806;;...;...;PUNCT;;;;;;;;;;PUNCT;;;
27807;;;;;;;;;;;;;;;;;
27808;# sent = 2033;;;;;;;;;;;;;;;;
27809;;А;А;CONJ;;;...   _А_ вот там то;а;;;;;;CONJ;А;CONJ;А
27810;;вот;ВОТ;PART;;;  А _вот_ там то же;т;о;в;;;;PART;ВОТ;PART;Т
27811;;там;ТАМ;ADVPRO;;; А вот _там_ то же самое;м;а;т;;;;ADV;ТАМ;ADV -;М
27812;;то;ТОТ;A - acc sg plen n -;;;А вот там _то_ же самое .;о;т;;;;;A;ТОТ;A - acc sg plen n -;Т
27813;;же;ЖЕ;PART;;;вот там то _же_ самое . ;е;ж;;;;;PART;ЖЕ;PART;Е
27814;;самое;САМЫЙ;A - nom sg plen n -;;;там то же _самое_ .  ;е;о;м;а;с;;A;САМЫЙ;A - nom sg plen n -;Й
27815;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27816;;;;;;;;;;;;;;;;;
27817;# sent = 2034;;;;;;;;;;;;;;;;
27818;;Там;ТАМ;ADVPRO;;;.   _Там_ тусят не местные;м;а;т;;;;ADV;ТАМ;ADV -;М
27819;;тусят;ТУСИТЬ;V ipf praes pl indic - 3p;;;  Там _тусят_ не местные ,;т;я;с;у;т;;S;ТУСЕНОК;S m anim acc pl;Ь
27820;;не;НЕ;PART;;; Там тусят _не_ местные , а;е;н;;;;;PART;НЕ;PART;Е
27821;;местные;МЕСТНЫЙ;A - nom pl plen - -;;;Там тусят не _местные_ , а молодежь;е;ы;н;т;с;е;A;МЕСТНЫЙ;A - nom pl plen - -;Й
27822;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27823;;а;А;CONJ;;;не местные , _а_ молодежь , причем;а;;;;;;CONJ;А;CONJ;А
27824;;молодежь;МОЛОДЕЖЬ;S f inan nom sg;;;местные , а _молодежь_ , причем как;ь;ж;е;д;о;л;S;МОЛОДЕЖЬ;S f inan acc sg;Ь
27825;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27826;;причем;ПРИЧЕМ;CONJ;;;а молодежь , _причем_ как я сказал;м;е;ч;и;р;п;CONJ;ПРИЧЕМ;CONJ;М
27827;;как;КАК;CONJ;;;молодежь , причем _как_ я сказал местные;к;а;к;;;;CONJ;КАК;CONJ;К
27828;;я;Я;SPRO sg 1p - nom;;;, причем как _я_ сказал местные тусят;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
27829;;сказал;СКАЗАТЬ;V pf praet sg indic m -;;;причем как я _сказал_ местные тусят где-нибудь;л;а;з;а;к;с;V;СКАЗАТЬ;V pf praet sg indic m -;Ь
27830;;местные;МЕСТНЫЙ;A - acc pl plen - inan;;;как я сказал _местные_ тусят где-нибудь в;е;ы;н;т;с;е;A;МЕСТНЫЙ;A - acc pl plen - inan;Й
27831;;тусят;ТУСЕНОК;V ipf praes pl indic - 3p;;;я сказал местные _тусят_ где-нибудь в кафешках;т;я;с;у;т;;S;ТУСЕНОК;S m inan acc pl;К
27832;;где-нибудь;ГДЕ-НИБУДЬ;ADVPRO;;;сказал местные тусят _где-нибудь_ в кафешках там;ь;д;у;б;и;н;ADV;ГДЕ-НИБУДЬ;ADV -;Ь
27833;;в;В;PR;;;местные тусят где-нибудь _в_ кафешках там у;в;;;;;;PR;В;PR;В
27834;;кафешках;КАФЕШКА;S f inan loc pl;;;тусят где-нибудь в _кафешках_ там у себя;х;а;к;ш;е;ф;S;КАФЕШОК;S f inan acc sg;А
27835;;там;ТАМ;ADVPRO;;;где-нибудь в кафешках _там_ у себя на;м;а;т;;;;ADV;ТАМ;ADV -;М
27836;;у;У;PR;;;в кафешках там _у_ себя на окраине;у;;;;;;PR;У;PR;У
27837;;себя;СЕБЯ;SPRO - - - acc;;;кафешках там у _себя_ на окраине .;я;б;е;с;;;SPRO;СЕБЯ;SPRO - - - acc;Я
27838;;на;НА;PR;;;там у себя _на_ окраине . ;а;н;;;;;PR;НА;PR;А
27839;;окраине;ОКРАИНА;S f inan loc sg;;;у себя на _окраине_ .  ;е;н;и;а;р;к;S;ОКРАИНА;S f inan loc sg;А
27840;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27841;;;;;;;;;;;;;;;;;
27842;# sent = 2035;;;;;;;;;;;;;;;;
27843;;Причем;ПРИЧЕМ;CONJ;;;.   _Причем_ эти кафешки намного;м;е;ч;и;р;п;CONJ;ПРИЧЕМ;CONJ;М
27844;;эти;ЭТОТ;APRO - nom pl plen - -;;;  Причем _эти_ кафешки намного прикольнее;и;т;э;;;;APRO;ЭТОТ;A - nom pl plen - -;Т
27845;;кафешки;КАФЕШКА;S f inan nom pl;;; Причем эти _кафешки_ намного прикольнее чем;и;к;ш;е;ф;а;S;КАФЕШКА;S f inan acc pl;А
27846;;намного;НАМНОГО;ADV -;;;Причем эти кафешки _намного_ прикольнее чем вот;о;г;о;н;м;а;ADV;НАМНОГО;ADV -;О
27847;;прикольнее;ПРИКОЛЬНО;ADV comp;;;эти кафешки намного _прикольнее_ чем вот это;е;е;н;ь;л;о;ADV;ПРИКОЛЬНО;ADV comp;О
27848;;чем;ЧЕМ;CONJ;;;кафешки намного прикольнее _чем_ вот это .;м;е;ч;;;;CONJ;ЧЕМ;CONJ;М
27849;;вот;ВОТ;PART;;;намного прикольнее чем _вот_ это . ;т;о;в;;;;PART;ВОТ;PART;Т
27850;;это;ЭТО;SPRO n - nom sg;;;прикольнее чем вот _это_ .  ;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
27851;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27852;;;;;;;;;;;;;;;;;
27853;# sent = 2036;;;;;;;;;;;;;;;;
27854;;Вот;ВОТ;PART;;;.   _Вот_ … там тоже;т;о;в;;;;PART;ВОТ;PART;Т
27855;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27856;;там;ТАМ;ADVPRO;;; Вот … _там_ тоже все местные;м;а;т;;;;ADV;ТАМ;ADV -;М
27857;;тоже;ТОЖЕ;PART;;;Вот … там _тоже_ все местные ,;е;ж;о;т;;;PART;ТОЖЕ;PART;Е
27858;;все;ВЕСЬ;APRO - nom pl plen - -;;;… там тоже _все_ местные , туристы;е;с;в;;;;APRO;ВЕСЬ;A - nom pl plen - -;Ь
27859;;местные;МЕСТНЫЙ;A - nom pl plen - -;;;там тоже все _местные_ , туристы и;е;ы;н;т;с;е;A;МЕСТНЫЙ;A - nom pl plen - -;Й
27860;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27861;;туристы;ТУРИСТ;S m anim nom pl;;;все местные , _туристы_ и толпа народу;ы;т;с;и;р;у;S;ТУРИСТ;S m anim nom pl;Т
27862;;и;И;CONJ;;;местные , туристы _и_ толпа народу ,;и;;;;;;CONJ;И;CONJ;И
27863;;толпа;ТОЛПА;S f inan nom sg;;;, туристы и _толпа_ народу , и;а;п;л;о;т;;S;ТОЛПА;S f inan nom sg;А
27864;;народу;НАРОД;S m inan gen2 sg;;;туристы и толпа _народу_ , и там;у;д;о;р;а;н;S;НАРОД;S m inan dat sg;Д
27865;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27866;;и;И;CONJ;;;толпа народу , _и_ там танцуют .;и;;;;;;CONJ;И;CONJ;И
27867;;там;ТАМ;ADVPRO;;;народу , и _там_ танцуют . ;м;а;т;;;;ADV;ТАМ;ADV -;М
27868;;танцуют;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;;;, и там _танцуют_ .  ;т;ю;у;ц;н;а;V;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;Ь
27869;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27870;;;;;;;;;;;;;;;;;
27871;# sent = 2037;;;;;;;;;;;;;;;;
27872;;Причем;ПРИЧЕМ;CONJ;;;.   _Причем_ ну не как;м;е;ч;и;р;п;CONJ;ПРИЧЕМ;CONJ;М
27873;;ну;НУ;PART;;;  Причем _ну_ не как у;у;н;;;;;PART;НУ;PART;У
27874;;не;НЕ;PART;;; Причем ну _не_ как у нас;е;н;;;;;PART;НЕ;PART;Е
27875;;как;КАК;CONJ;;;Причем ну не _как_ у нас уличные;к;а;к;;;;ADV;КАК;ADV -;К
27876;;у;У;PR;;;ну не как _у_ нас уличные танцуют;у;;;;;;PR;У;PR;У
27877;;нас;МЫ;SPRO pl 1p - loc;;;не как у _нас_ уличные танцуют (;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc;Ы
27878;;уличные;УЛИЧНЫЙ;A - nom pl plen - -;;;как у нас _уличные_ танцуют ( как;е;ы;н;ч;и;л;A;УЛИЧНЫЙ;A - nom pl plen - -;Й
27879;;танцуют;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;;;у нас уличные _танцуют_ ( как я;т;ю;у;ц;н;а;V;ТАНЦЕВАТЬ;V ipf praes pl indic - 3p;Ь
27880;;(;(;PUNCT;;;;;;;;;;PUNCT;;;
27881;;как;КАК;CONJ;;;уличные танцуют ( _как_ я , когда;к;а;к;;;;CONJ;КАК;CONJ;К
27882;;я;Я;SPRO sg 1p - nom;;;танцуют ( как _я_ , когда деньги;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
27883;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
